PDF_File,Page,Line,Matched_Text
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,23,5,"L’altezza di posa dei telai proposti permette inoltre un ricircolo d’aria al di sotto dei pannelli, scongiurando"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,23,14,"Le strutture raggiungono complessivamente un'altezza massima di circa 2,242 m. L’altezza minima rilevata"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,23,27,• Componenti meccanici della struttura in acciaio: 6 montanti (di solito circa 4 m di altezza comprese
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,24,9,"• L'altezza minima da terra dei moduli è di circa 1,30 m."
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,27,14,"• temperatura ambiente ≤ 40°C, altitudine ≤ 1000 m;"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,28,31,La cabina sarà posata su fondazione realizzata in opera o prefabbricata tipo vasca avente altezza esterna di
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,28,32,circa 60 cm (interna di 50 cm) e dotata di fori diametro 18 cm a frattura prestabilita in modo da consentire
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,30,42,deformazione Md non inferiore a 80 N/mm2 ricavato dalle prove con piastra avente diametro di 30
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,10,"con una rete grigliata in acciaio zincato, rivestita in PVC, di 2,10 m di altezza, sorretta da pali metallici."
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,16,"tipo “a maglia romboidale” 50 x 50 mm plastificata di colore verde, in filo di ferro zincato, diametro 2 mm, di"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,17,altezza circa 2 m ancorata a pali di sostegno in profilato metallico con sezione U (o similare ) in acciaio zincato
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,22,La recinzione lungo il confine con i lotti adiacenti verrà inoltre posizionata ad un’altezza da terra di circa 10
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,37,"modifiche, a aderenza migliorata, in maglie quadre in pannelli standard, con diametro delle barre FI 8, maglia"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,33,45,"distanti circa 20 m e di altezza di 6m, adatto ad illuminare il perimetro dell’area. Essi saranno dotati di"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,34,15,"posizionate ad una altezza minima di 5 m di altezza, lungo il perimetro dell’impianto, con sistema di"
downloads/Serramanna\Progetti\10217\R_01-Relazione_illustrativa_R01_signed.pdf,45,13,All'interno della trincea è prevista l'installazione di un tubo di segnale rigida da diametro di 50 mm entro il
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,6,39," Latitudine 39°25'25.05""N, Longitudine 8°50'16.22""E;"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,6,40, Altezza media di 73 m s.l.m.;
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,6,41, Carta d’Italia in scala 1:25.000 edita dall’IGM Foglio 225 - II – NE;
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,6,42, Carta Tecnica Regionale della Sardegna in scala 1:10.000 foglio 547 – Provincia di Cagliari-Medio
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,6,44, Carta Geologica d’Italia foglio n° 547 – Villacidro.
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,9,12,del Foglio 547 - Provincia di Cagliari e Medio Campidano.
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,9,13,Inquadramento del progetto nel Foglio 547 – Provincia di Cagliari e Medio Campidano - PPR.
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,22,16,quantitative tra loro integrate e coordinate per bacino idrografico ed il programma di attuazione e verifica
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,50,11,L’assetto geologico generale è rappresentato nel Foglio 224 e 225 Capo Pecora – Guspini della Carta
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,50,15,Frequente il detrito basaltico”. Nel Foglio 547 Villacidro della Carta Geologica d’Italia scala 1:50000 è
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,56,15," l’altezza al mozzo delle strutture di sostegno è di circa 2,270 m dal suolo, in questo modo nella"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,56,16,"posizione a +/-55° i pannelli raggiungono un’altezza minima dal suolo di 1,30 m e un’altezza massima"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,69,5,"L’altezza di posa dei telai proposti permette inoltre un ricircolo d’aria al di sotto dei pannelli, scongiurando"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,69,14,"Le strutture raggiungono complessivamente un'altezza massima di circa 2,242 m. L’altezza minima rilevata"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,70,12, Componenti meccanici della struttura in acciaio: 6 montanti (di solito circa 4 m di altezza comprese
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,70,20," L'altezza minima da terra dei moduli è di circa 1,30 m."
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,73,13,La cabina sarà posata su fondazione realizzata in opera o prefabbricata tipo vasca avente altezza esterna di
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,73,14,circa 60 cm (interna di 50 cm) e dotata di fori diametro 18 cm a frattura prestabilita in modo da consentire
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,75,28,deformazione Md non inferiore a 80 N/mm2 ricavato dalle prove con piastra avente diametro di 30
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,77,24,"con una rete grigliata in acciaio zincato, rivestita in PVC, di 2,10 m di altezza, direttamente infissa nel terreno,"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,77,31,"maglia romboidale” 50 x 50 mm plastificata di colore verde, in filo di ferro zincato, diametro 2 mm, di altezza"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,77,37,La recinzione lungo il confine con i lotti adiacenti verrà inoltre posizionata ad un’altezza da terra di circa 10
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,78,4,"modifiche, a aderenza migliorata, in maglie quadre in pannelli standard, con diametro delle barre FI 8, maglia"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,78,12,"distanti circa 20 m e di altezza di 6m, adatto ad illuminare il perimetro dell’area. Essi saranno dotati di"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,78,31,"posizionate ad una altezza minima di 5 m di altezza, lungo il perimetro dell’impianto, con sistema di"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,85,41,"esposizione al sole. Naturalmente nel periodo autunno-primaverile, in considerazione della minor altezza del"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,103,3,I viewpoints sono stati posizionati in corrispondenza della viabilità esistente ad un’altezza di 160
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,103,4,cm (altezza osservatore media).
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,109,46," altezza dello strato arboreo, arbustivo ed erbaceo;"
downloads/Serramanna\Progetti\10217\SIA_Studio_Impatto_Ambientale_signed_signed.pdf,110,3," pattern strutturale della vegetazione arbustiva ed arborea (altezza totale, altezza inserzione della"
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,16,21,"I pozzetti di scarico, siano essi a gravità o forzati avranno un diametro dello scarico pari a 200 mm e saranno dotati"
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,18,21,"realizzato ad una altezza minima di circa 3.00, sostenuto da opportuni appoggi in Cls C25/30 Rck 30 N/mmq"
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,25,7,"I pozzetti di scarico, siano essi a gravità o forzati avranno un diametro dello scarico pari a 150 mm e saranno dotati"
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,26,7,"I pozzetti di scarico, siano essi a gravità o forzati avranno un diametro dello scarico pari a 200 mm e saranno dotati"
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,28,19,"che potrebbero rapidamente riempire i bacini (caratterizzati da una altezza d’acqua di soli 0,55 m)."
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,29,8,diametro di 28 m sono necessari lavori di impermeabilizzazione interna per una superficie stimata complessiva di
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,30,17,"m(8,00x21,00) e dell’altezza interna di 6,20 m."
downloads/Serramanna\Progetti\11278\01_IDSAID003_PEXTPRR002R1.pdf,48,15,presenza di strutture di rilevante altezza per lo più in pessime condizioni di conservazione estetica e strutturale.
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,21,15,presenza di strutture di rilevante altezza per lo più in pessime condizioni di conservazione estetica e strutturale.
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,23,53,esistente pezzi speciali antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,23,56,esistente pezzi speciali antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,23,59,esistente pezzi speciali antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,23,62,esistente pezzi speciali antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,23,74,esistente ancoraggio diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,47,esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,50,esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,53,esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,56,8 esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,59,esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,24,67,esistente antisfilamento diametro rispetto a quella in progetto
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,34,26,Le dimensioni del controtubo variano in funzione del diametro della condotta secondo quanto riportato nella tabella
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,45,18,Diametro tubazione (mm) Larghezza dello scavo (m) DN tubazione (mm) Larghezza dello scavo (m)
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,14," condizionamento chimico e flottazione in due unità del diametro di 21,4 m con una altezza d’acqua di"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,16, condizionamento chimico e chiariflocculazione in n.4 unità a letto di fango del diametro di 28 m;
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,25, n.2 ispessitori del diametro di 10 m
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,27,È anche presente una stazione di trattamento delle torbide con vasca di accumulo e sediflottatore del diametro di
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,32, condizionamento chimico e chiariflocculazione in. 4 unità del diametro di 30 m;
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,39, n.3 ispessitori del diametro di 12 m;
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,46,40, 1 sediflottatore del diametro di 9 m;
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,47,16," i due flottatori del diametro di 21,4 m sono fuori esercizio e sulla base di quanto constatato non hanno mai"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,47,22,adeguate del diametro di 28 m del tipo Accelator con campana in calcestruzzo) richiedono interventi sia
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,50,30,"che potrebbero rapidamente riempire i bacini (caratterizzati da una altezza d’acqua di soli 0,60 m)."
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,50,37,Due dei quattro bacini di chiariflocculazione del diametro di 28 m necessitano di lavori di impermeabilizzazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,51,27,regolato in altezza per mezzo di n° 4 gruppi di comando con sistema vite-madrevite. I gruppi di
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,51,42," Diametro della turbina: m. 4,5"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,52,12," Altezza letto filtrante m 1,25"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,52,13," Altezza d’acqua m 1,00"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,15,"- altezza letto di sabbia mm 0,8"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,17,"- altezza letto di antracite mm 0,5"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,28,"- Diametro di calcolo tubazione uscita filtro mm 434,11"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,29,- Diametro adottato tubazione uscita filtro mm 450
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,32,"- Diametro di calcolo tubo mandata aria mm 300,60"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,33,- Diametro adottato tubo mandata aria mm 300
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,38,"- Diametro di calcolo tubo mandata aria mm 58,95"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,39,- Diametro adottato tubo mandata aria mm 50
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,41,"- Diametro di calcolo tubazione uscita filtro mm 314,69"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,53,42,- Diametro adottato tubazione uscita filtro mm 300
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,54,26,"m(8,00x21,00) e dell’altezza interna di 6,20 m."
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,55,36,diametro m 10
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,55,37,"altezza fango m 3,5"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,59,7," altezza del liquido nel punto meno profondo m 4,00"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,59,13, diametro ruote carrello mm 500
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,59,21,"La macchina comprende: ponte, carrelli e trasmissione, dispositivo raschiante di fondo, lama di superfice,"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,59,25," n.2+1 idrovore sommergibili con girante ad elica, motore elettrico è asincrono trifase con rotore a gabbia,"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,60,18, diametro mandata mm 200
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,67,12,"L’edificio centrale sarà costituito da un fabbricato a due piani, con dimensioni in pianta di 10,00 x 7,00 m e altezza"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,67,28,"di altezza fuori terra, al colmo del tetto. La cabina ospiterà tre diversi locali: il locale utente, contenente le"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,71,20, Diametro nominale: 600/350 mm mm
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,72,22,"carbonio, aventi diametro esterno di 15mm e spessore minimo di 1.5mm, resistenti alle alte pressioni e piegabili a"
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,107,13,Il valore della spinta in corrispondenza di una variazione di diametro si calcola con:
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,112,23, D = diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,112,33, H = altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,113,13, H = altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,117,19,D = 324.0 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,117,21,D = 308 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,117,23,D = 316 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,117,30,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,119,37,D = 419.0 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,119,39,D = 397 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,119,41,D = 408 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,119,48,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,121,186,D = 508.0 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,121,188,D = 486 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,121,190,D = 497 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,121,197,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,123,206,D = 609.6 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,123,208,D = 585 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,123,210,D = 597 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,124,8,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,126,10,D = 711.2 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,126,12,D = 686 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,126,14,D = 699 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,126,21,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,128,28,D = 812.8 mm diametro esterno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,128,30,D = 784 mm diametro interno della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,128,32,D = 799 mm diametro medio della tubazione
downloads/Serramanna\Progetti\11278\02_IDSAID003_PEXTPRR003R4.pdf,128,39,H = 1.20 m altezza del terreno sulla tubazione
downloads/Serramanna\Progetti\11278\03_IDSAID003_PEXTPRR004R0.pdf,18,6, D è il diametro interno della condotta i-esima
downloads/Serramanna\Progetti\11278\03_IDSAID003_PEXTPRR004R0.pdf,18,34, diam diametro del serbatoio
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,9,9, Note illustrative della Carta Geologica di Italia alla scala 1:50.000 foglio Cagliari e Senorbi
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,16,21,"facilmente erodibili. È comunque sulla prosecuzione verso N di questa struttura che nel limitrofo Foglio 547 “Villacidro”,"
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,16,41,Foglio 540 “Mandas”.
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,17,9,di uguale altezza. Sebbene una delle principali fasi di spianamento in tutta la Sardegna sia riconducibile al “penepiano
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,17,32,terrazzamento. con scarpate di erosione fluviale di varie decine di metri di altezza. Durante l’approfondimento vallivo
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,19,14,"del Castello. Si trattava in genere di scavi del diametro di 3 + 6 m e della profondità di 30+40 m e più, nei quali si"
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,20,8,Figura 3: Schema idrogeologico del Foglio 557 - Cagliari. Fonte: Note illustrative della carta geologica d'Italia alla scala
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,45,7, A.P.A.T. Dipartimento Difesa del Suolo - Note Illustrative della Carta Geologica d’Italia – foglio 557 Cagliari
downloads/Serramanna\Progetti\11278\05_IDSAID003_PEXTPRR006R2.pdf,45,8, A.P.A.T. Dipartimento Difesa del Suolo - Note Illustrative della Carta Geologica d’Italia – foglio 548 Senorbi
downloads/Serramanna\Progetti\11278\06_IDSAID003_PEXTPRR007R1.pdf,15,36,Dall’analisi delle curve granulometriche risulta una percentuale di elementi fini con un diametro inferiore a 1mm pari
downloads/Serramanna\Progetti\11278\06_IDSAID003_PEXTPRR007R1.pdf,15,37,al 79% e di elementi con diametro inferiore a 0.062 mm pari al 48.9%. I valori più elevati della percentuale
downloads/Serramanna\Progetti\11278\06_IDSAID003_PEXTPRR007R1.pdf,16,6,di diametro maggiore ai 2 mm. All’aumentare della profondità aumenta la percentuale della componente sabbiosa e
downloads/Serramanna\Progetti\11278\06_IDSAID003_PEXTPRR007R1.pdf,21,11,"per edifici di modesta entità. Nei terreni a matrice sabbiosa o ghiaiosa, l’altezza critica di scavo è molto contenuta."
downloads/Serramanna\Progetti\11278\06_IDSAID003_PEXTPRR007R1.pdf,24,10, APAT - Note illustrative della Carta Geologica d’Italia alla scala 1:50.000 foglio 557 Cagliari.
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,8,26,situato su un rilievo al confine tra i territori dei comuni di Donori e Barrali; Ha un’altitudine di m.273 sul livello del
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,8,29,"m.19 in senso Nord-Sud e largo m.12 in senso Est Ovest. L’altezza massima sul lato Nord-Est è di m. 2,90 con"
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,8,41,"della base e l’altezza residua, indice di una ridotta elevazione a vantaggio dell’estensione. Altro motivo che colloca"
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,15,20,"L'insediamento neolitico di Crabiolu Paderi, individuato in catasto al foglio 22 su diversi mappali e sulla carta I.G.M."
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,16,14,sensi della legge 1089 del 1939 al solo mappale interessato dai lavori di costruzione dell'edificio suddetto.
downloads/Serramanna\Progetti\11278\07_IDSAID003_PEXTPRR008R0.pdf,17,22,"cilindrico o tronco conico, i vasi carenati con spalla ripiegata all'interno, con bocca di poco diametro. I manufatti"
downloads/Serramanna\Progetti\11278\08_IDSAID003_PEXTPRR009R1.pdf,10,24,sferoidale del medesimo diametro.La condotta da sostituire parte dal Potabilizzatore di Donori ed arriva
downloads/Serramanna\Progetti\11278\08_IDSAID003_PEXTPRR009R1.pdf,11,30,"all’altezza del ristorante il Ginepro, in corrispondenza del quale le due condotte dovrebbero essere molto"
